Tweet of the development set,True class,Predicted class with word-based,Predicted class BPE
"I for don lose my thing oh Ngozi elutego gi aka """"""""""""""""Onyeoma"""""""""""""""" O ga erutakwa mu aka m """"""""""""""""Onyeoma"""""""""""""""" I ga… ♩ ♪ #HolyhillWorship",positive,positive,positive
Happy birthday @user Oparaukwu ndi Ngwa. Ndi Opara ehila obena. Wishing you the best Dede. ♥️🖤 [URL],positive,positive,positive
"@user Nwanyi oma, nne, obi di ya.",positive,positive,positive
@user Ezigbote obi ụtọ ka m nwere gbuo. Ndị Liverpool ga n'ebe akwa 😂😂😂,positive,negative,negative
"@user Jehova nke ụsụụ nile nke ndị agha, ọkwa ina aṅụ ife nwoke omata na agwa m😭😭😭",positive,positive,positive
@user @user @user @user @user Nwanne okwu gi kwu oto ka Candle [NUM] naira.. Onye etoro n’ otu nkwo etoro n’ otu nkwo ejighi igbo agwa ya onye ocha..,positive,negative,negative
@user Onye ma Uche 👌🏽😌,positive,positive,positive
"Happy birthday. Daddy ndi onyuu. Vhukwu gbaa GI ume, ma gozie GI mmaji puru mmaji [URL]",positive,positive,positive
@user Anyi asala chi. Ekele diri Chukwu. Anuri onwa ohuru Nnaa. Ka onwa a mitara anyi ezi mkpuru. iseeeeeeeee,positive,positive,positive
@user Obi aňụlị jupụtara na ihe nnenne a. Ya gazie,positive,positive,positive
@user Adim mma Kedu ka imere???,positive,positive,positive
Umu oma m 😍😍😍 Umu Chukwu ji gozie m 😍😍 Dressed up for their school cultural day Fusion of Atani… [URL],positive,positive,positive
Ife di mma - Umu Obiligbo🎶,positive,positive,positive
Good job! Jee nke oma! [URL],positive,positive,positive
Ọ na kpụrụ teta ke n'ebe Chukwu na odiro nfe cha kà ma ná ọbụ obi ebere Chukwu nna🙏 [URL],positive,positive,positive
"@user Udo di nwanne. Mana onye obula na ekekwa nkwucha, ma murukwa anya ka eke. Uwa wu ofu mbia oooooo. Ka m biakwa.🏃🏽🏃🏽🏃🏽🏃🏽",positive,positive,negative
@user @user 😂😂😂 Eziokwu bu ndu,positive,positive,negative
"@user @user @user Chizie ga-atacha okpa ahu tata, uche gi dikwa ya",positive,negative,negative
@user With akpu di sharp? 🤔 A choro mu ndi [NUM] naira oh.. O di smal😩,positive,negative,negative
Nnukwu oga.... more grace!!!! [URL],positive,positive,positive
e bu chi e'bughi mmadu! @user,positive,positive,negative
Chai... Nna ndo... Ji si ike [URL],positive,negative,positive
A ga m aja Gị mma (l will praise You) ♫♫ #HolyhillWorship,positive,positive,positive
@user @user @user @user @user @user @user @user @user Ka Chineke mee gi mma Nneoma,positive,positive,positive
@user @user Udo diri gi Bobsi nwoke oma. Mana e soro m na ndi baand wagon Dankwambo. Mana ka anyi na-ile anya sha,positive,positive,positive
Omalimma ne se okwu. Baby na tomato 🍅 Jos. Nwanyi oma. [URL],positive,positive,positive
@user Chukwu biko! Ejim aha gi ayo gi!😭😭😭 Biko! Achorom oo🙆🏽‍♀️,positive,positive,negative
@user Ezigbo onye Ogidi 🙌,positive,positive,positive
@user 😅😅 Koro anyi k'obi di anyi nma,positive,positive,positive
"Warm wishes on your birthday nwanne m @user Ka Osebuluwa ji ike nile gozie gi, tata na mgbe nile!",positive,positive,positive
Okpa di oku.....odi very hot [URL],positive,positive,negative
"@user @user @user Daalụ, eziokwu ka i kwuru. Onye alụghọ di, ka bụ nwata. Mgbe ọbụla o jiri lụọ di o bụrụ nwaada maọbụ nwaọkpụ.",positive,positive,positive
"Otú this lady jị akpọ'm Obi.... Obi n'ime ahịa, chọọ the name ana atọ'm pieces💗",positive,negative,negative
@user Chai.... Nwanyi oma!,positive,positive,positive
Japanese gozie gi nwanne 😁 (Auto correct ehn!!) [URL],positive,positive,positive
@user @user Ị dị egwu Nwaanyị ọma,positive,positive,positive
@user @user @user Chukwu gozie gi onye oma,positive,positive,positive
@user @user Je kwa nke Bu oma. And return safely. Amen.,positive,positive,positive
Kene onye ker'igwe n'uwa Kene onye ker'igwe n'uwa Kene onye ker'igwe n'uwa Kporo y'isi nala🎤🎤,positive,positive,positive
@user @user Ngwa bụ tụọ. Nwoke oma osiso,positive,positive,positive
Chukwu Okike Abiama.....Ndewo! Onye olu ebube ......DALU! ! @user Ugezu J. Ugezu [URL],positive,positive,positive
Kachifuo ndi Nkem.,positive,positive,positive
@user @user Chukwu ekwela ihe ojoo,positive,negative,negative
Asa nwoke.. ezigbo ofe Igbo di Oke. [URL],positive,positive,positive
@user oye ndi igbo ji eme onu.. 🔥🔥🔥🙌🙌🙌 [URL],positive,negative,positive
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Ka’m gba ya final shot now. Nwanyi oma. Mma gi na ewepu ora na anya m. [URL],positive,positive,negative
@user I na eme ofuma. Ji Si Ike. [URL],positive,positive,negative
Ify onye nke'm...😉🤗🤗 [URL],positive,positive,positive
@user Nwa oma... Daalu so,positive,positive,positive
@user @user Daalụ umunne m.... Jisie nụ ike....,positive,positive,positive
@user Nsogbu adịro. Dalụ rinne,positive,positive,positive
"Unom di na elugwe mara nma.. unom di na elugwe mara nma, unom di na Thinkers corner na nke di n’igwe ka ya nma e ndi #EndSARS a nnoro ya.",positive,positive,positive
Happy Birthday Gee 🎂 Mfonabasi uwere ke idem Imoh ye inyene nti mkpo edi udeme mfo! Ufa isua emana mfo ami ado akpatre isua nsad ubok Yak emem eduye afo Afofon unö fîën Amen [URL],positive,positive,positive
"A ga m aja Gị mma (l will praise You) Si na ebighebi, ebighebi ruo na ebighebi (From Everlasting, Everlasting to Everlasting) ♫♬#HolyhillWorship",positive,positive,positive
Love this video. Chukwu gozie gi [URL],positive,positive,positive
"@user @user Ada Igbo ji eme onu, oga adiri gi na mma oooh....... Iseeee............ Ka Chineke nye gi ogologo ndu na ahu isi ike..........iseeee.........",positive,positive,positive
@user @user Ahu amaka m nno.. chim di ebube..,positive,positive,positive
@user Ụtụtụ ọma nwoke ọma,positive,positive,positive
@user 😃😃 Odinma Nwanyi Oma. Ke kwanu?😜,positive,positive,positive
"Nara Ekele Nara Otuto Ome Mma Nanị Gị ka m ga efe A ga m aja Gị mma Si na ebighebi, ebighebi ruo na ebighebi ([NUM]x) ♫♫ #HolyhillWorship",positive,positive,positive
@user Ella nwaanyị oma,positive,positive,positive
Daalu... Nna Chukwu gozie gi. [URL],positive,positive,positive
"Happy Birthday Asa'm, Chukwu gozie gi! tvconsulgeneral @user Isolo, Lagos, Nigeria [URL]",positive,positive,positive
@user Dalu nwoke oma maramma🤗,positive,positive,positive
Ututu oma nwunye m huru na anya nke ukwuu ❤️ [URL],positive,positive,positive
Nkwerre Lee! E lohulam. I am back. Ekele na nsopuru diri aha nso gi. Ada Nkwerre kam wu. Nkwerre wu college,positive,positive,positive
🎤Jehovah idi egwu oh... Jehovah idi egwu oh...🎤 #DCService #FirstService #Praises,positive,positive,positive
NP Chukwu Agozi Go gi - @user ft @user // #DreamLounge With @user &amp; @user #MidWeekSwitchUp! #HipHopHour 😉💯,positive,positive,positive
NP Onye Nkem - @user // #DreamLounge with @user #MondayNightMashUp! 🐾🚀cc @user,positive,positive,positive
@user Nwanne uwa di uto.,positive,positive,positive
@user @user @user @user Voom ka mma karia statement.🤣🤣🤣🤣,positive,positive,negative
🎶▶️CHUKWU AGOZIGO GI @user @user ON TOTORIMUZIK @user #INDAMIX #DISGUISETHEMOVIE #OUTNOW,positive,positive,positive
@user Yesooooo! Chi-Ukwu-Abia-Ma di ebube.,positive,positive,positive
Igwe Igwe Igwe [URL],positive,positive,positive
🎼 Too chukwu onye amara [URL],positive,positive,positive
@user Kpesie ekpere gi ike.,positive,positive,negative
Nke a a tọọ m pieces! 🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌 [URL],positive,positive,positive
@user @user Chai. Ife oma atoka. Nwanne je welu ife oma gi 😃🌚,positive,positive,positive
"@user Congratulations sir, o ruru gị.",positive,positive,positive
@user 🤣 🤣 🤣 🤣 What I do bikonu? Aka'm di ocha ooo,positive,negative,negative
Ndia choro kanyi kuo garri!!! Chai ..... Akanchawa Rasta ..... Onyenweanyi Mere Anyi Amara!!!!,positive,positive,positive
Happy birthday Engr Nke Anyi. Birikwa 🙌 @user,positive,positive,positive
@user @user Njiri Mara Ndi igbo! Igbo kwenu e!!!!,positive,positive,negative
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user 🤣🤣🤣🤣 Nkea atọ mụ ichee,positive,negative,negative
"@user Chuks nwokeoma, ya diri gi mma! Ndewo!🙏",positive,positive,positive
@user 's otimkpu. Nwoke mara ife ana ako. Afam umunwanyi Nwoke na apiawa azu Fa amaro ka isi kwado They dunno 😏 Ubochi taa anam ario chukwu ka o zaa gi ekpere gi nille ma ife ndia n'gi n'obi gi choro. Amin Happy birthday @user,positive,positive,positive
Blood Blood Blood!!!! regrann from @user - Hbd nwannemus @user chukwu gozie gi… [URL],positive,positive,positive
[NUM] afor ihe Oma ga emere anyi.,positive,positive,positive
@user @user @user @user @user @user Nli gi malu mma n’anya... ji sie ike... 👍👍👍,positive,positive,positive
Ofu onye Ana asi unu abiala Aka Na emebe cashew Na [NUM] @user 😍nwaanyi oma [URL],positive,positive,positive
@user @user Maka chi.. ezigbo Asa,positive,positive,positive
"Ndewo, Chukwu gozie 🙏 gi! [URL]",positive,positive,positive
Congratulations nwalete Chukwu gozie gi [URL],positive,positive,positive
@user @user @user @user Eziokwu dị na ihe ikwuru chairman,positive,positive,negative
Ihunanya nå Ihė......🙏🏻🙏🏻 [URL],positive,positive,positive
@user Daalụ nwaanyị ọma. 😍,positive,positive,positive
@user @user Obodo gị amaka,positive,positive,negative
Chai Sega bukwa ezigbo Odogwu oo!!! [URL],positive,positive,positive
@user Onyenweanyi gozie gi,positive,positive,positive
Chukwu I dinma I di nma I di nma Chineke m oo nara ekele mine nile 🎶🎵🎵🎶🎵 #InspireRCCGPL,positive,positive,positive
"@user Onyeoma, Onye Eze ibem! I greet you sir!",positive,positive,positive
Nwa'afor! Nwa mama!! Nwa di sharp 😍😍😍 #igbokwenu [URL],positive,positive,positive
@user Nsogbu adighi utom,positive,negative,negative
@user @user Ị bụ ezigbo nwa afọ Igbo,positive,positive,positive
"@user Eziokwu, ka ikwuru ututu oma nwannaa",positive,positive,positive
@user Jisi Ike Nne.,positive,positive,negative
NP Chukwu Agozi Go Gi - @user // #TheMiddayExpress With @user MixBy @user #InspireMyTuesday,positive,positive,positive
"@user @user @user @user @user @user @user @user @user @user @user Obi esigo Ike, Chukwu dube gi nna. Ife aga eji zu ya ama nko gi",positive,positive,negative
Ihu n'anya ya di ukwu n'ime ndu m! [URL],positive,positive,positive
"@user Aww ego ga bia ofuma. A dim very rich now, m kwesiri nyere gi ofu plate. ❤️",positive,positive,positive
#Np nwanne waa @user #k'anyinoria Oge ndigbo @user,positive,positive,positive
@user @user @user @user @user @user @user @user @user @user @user @user Daalu Ezigbo Nne,positive,positive,negative
Like I always says Doh Oliseh Doh Oliseh kenu elu wa doh Chukwu… [URL],positive,negative,positive
"Fast Cash"""""""": Watch Tamara Eteimo, Kiki Omeili, Oma Nnadi, Mary Lazarus in trailer [URL]",positive,positive,positive
@user @user @user @user @user @user @user @user @user @user @user @user Eziokwu bụ ndụ 🙏🙏,positive,positive,positive
"EZIOKWU BU NDU @user [NUM], Coal city state. Obodo ife n'eme. [URL]",positive,positive,positive
"@user Amaka pounds-sterling, Nwanyioma idi uto.",positive,positive,positive
@user Chukwu bu ike anyi,positive,positive,positive
🎺🎻Aka aka ya aka Jehovah meme nma Olu ebube ya nke nerughari nebe'm no Isi iyi nke ndu nke nadighi ata ata Aka aka ya aka Jehovah meme nam🎶🎵,positive,positive,positive
Nwanne ka anyi muru nu aya ka azu maka ndi ilo...... Hapi Sunday peops and Jah bless.... @user… [URL],positive,positive,positive
Onye Ne Me Mma Lekwe Ikeperem Na La O Chineke Idi Mma #praise #[NUM]dservice #rogicabuja,positive,positive,positive
Nwanne jisie ike na asị na áká ajaja na ebute ọnụ mmanụ mmanụ 😁😁👍 [URL],positive,positive,positive
@user @user @user A mara m Uma dee ya aga ahụ ka m kebie okwu. Daalụ nwanne.,positive,positive,positive
"NP @user """"""""""""""""CHUKWU AGOZIGO GI"""""""""""""""" #RoadShowLagos With @user &amp; @user",positive,positive,positive
Happy birthday atakata elo @user. Jide nke iji.,positive,positive,positive
"@user #onye_mpa🙌 udo Di li gi nwanne @user Festac Town, Lagos [URL]",positive,positive,positive
@user Captain! Akwaeze na Anaọcha dị proud. Jisie ike nwanne!,positive,positive,positive
"Nnabuenyi, happy birthday nnukwu Mmanwu @user.",positive,positive,positive
@user Daalụ nwa afọ,positive,positive,positive
@user @user Ndị Kraịst MFM,positive,negative,positive
@user Onye nwe anyi gbaa gi ume 💯💯,positive,positive,positive
Ibu chukwu ibu di manu ooo X[NUM] #Worship #TheSpiritAndLifeSeries @user @user @user @user @user @user,positive,positive,positive
Ututu oma ndi m💫 [URL],positive,positive,positive
@user Nsogbu adiro at all.,positive,negative,negative
@user @user @user @user @user @user Biko dughariam Nke oma 😂,positive,positive,negative
"@user @user Happy birthday llnp,Golibe maka Na tata bu ubochi ncheta omumu gi..Chukwu gozie kwa gi",positive,positive,positive
@user @user Happy birthday brother. This their kini challenge no let me see road today.. iheoma ga emere gi nwanne. I ga dika echi maka echi adighi agwuagwu. Chiukwu ga awara gi uzo ebe oga abara gi. Ya gaziere gi...,positive,positive,positive
Ezigbo obara Jesus [URL],positive,positive,positive
#Vibing 📻 Kpo Kpo Di Kpo - @user On #TheTakeOver W/ @user #OldiesButGoldies [URL],positive,positive,positive
Ezi nwanyi di uko. [URL],positive,positive,negative
@user Ọke ada! Ekene m gi! Ọnụ m shutop!,positive,positive,positive
"@user Onye nwe uno, anyi abialugo welu obi chineke Nna nabata anyi",positive,positive,positive
Ututu umu oma,positive,positive,positive
@user Dalu ezigbo mmadu @user,positive,positive,positive
@user @user @user @user Nne Afa ya wu Onyeoma naw nwanna n’eme mma,positive,negative,positive
"@user Fine babe, nwa dí uto🍷😍",positive,positive,positive
Eji m chukwu #Grace [URL],positive,positive,positive
@user Chukwu dobe gị,positive,positive,positive
🎤Eze ndi eze I di egwu Onyedika Gi Onyedika Chukwu Omalicha Agu n'eche mba One Bulie Ya elu.... Igwe Igwe Igwe Igwe! 🎤 #Praises #EternitySummit #DCService,positive,positive,positive
"@user @user @user Ewwww chịm oooohhh!!!! Ọ zakwara m aza ooohhhh!!!! Nwanyị ọma, afam bụ Ikechukwu ☺️☺️☺️",positive,positive,positive
@user @user @user Abumu nke chukwu 🎶🎵 🤣🤣🤣🤣,positive,positive,positive
@user Daalu nwanyi oma. Amen,positive,positive,positive
"Okaka Chikelu uwa, ogologo ndi ka anyi na acho. 🙌",positive,positive,positive
"@user Ijele of Africa, Palliative umu nwa 🙌",positive,positive,positive
"Nwannem, Thicc bu Ndu! 💀 [URL]",positive,positive,positive
@user Eziokwu chukwu mara ihe oma o na emere umu ya...👏👏👏🙌🤲🤲🙏,positive,positive,positive
Igbo kwenu!!!! nwanne mmadu ya gazie ri gi 🤗 [URL],positive,positive,positive
Happy Birthday Onye'm @user Chukwu gozie gị Mgbè niile,positive,positive,positive
@user 🤣 🤣 🤣 Less than [NUM]mins drive.. Biko host us oh Ọ bụrụ na ofiaku Dalụ rinne 😊,positive,positive,positive
kà chukwu ģòźìè ñdi nne ñà nna mma nyi kwa ėģò eji azù ùmu [URL],positive,positive,positive
"Onye chukwugosiri ogosi go ya, ewero ife na eme. ( who God has blessed no man can change it ) so… [URL]",positive,negative,positive
Aka chukwu Di na ya,positive,positive,positive
"@user Hehehe, o di mma nne",positive,positive,positive
@user Mbanu! Chi di ebube,positive,positive,positive
@user Onye Chukwu telu mmanụ....🤣🤣🤣,positive,positive,positive
@user Jisie ike. Dokita si mu libe akpụ 🤣,positive,positive,negative
Oya whine for the kpa kpa di kpa di kpa,positive,negative,negative
@user Dalu odogwu nwoke. Nsi kpa udene nke mbu,positive,positive,positive
"Ìgìrìgì òmà sì n'ìgwè dà kwàsì ànyì n'àro ofu a. Chukwu nnà bìko sàchà pù lù ànyì nsogbù nìnè, oyà nìnè, okè èchìchè, àghùghò na okè òchùchò. Nnànyi bì n'ìgwe. Otito nà nsòpulù dìlì àfà gì dì nsò. Ànyì nà èkènè gì màkà nà ànyì dì ndù wèrè fu àro ofuu nkàà. @user ([NUM]/[NUM])",positive,positive,negative
"@user @user 😘😘😘😘 Ada anyị, Chukwu gozie gị rinne.. Thank you",positive,positive,positive
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Daalụ nwannem, Chukwu gọzie gị nke ụkwụ 🙏🙏🙏👌",positive,positive,positive
@user They said omalicha di mara'ma,positive,positive,positive
@user Egwu ga adị! Maka chi!😂,positive,positive,negative
Ndi igbo una well-done oooo [NUM] turn Ford........ Made in Enugu Igbo Amaka @user F C T Abuja [URL],positive,positive,positive
"@user @user Udo di kwara gi, nwoke oma",positive,positive,positive
Mmama di ebube,positive,positive,positive
@user Awesome. Ka Igbo na amama na-aga N'ezie. Ihe nke a amaka. Jisi nu ike.,positive,positive,positive
"@user Ndi nna anyi si na """"""""""""""""Nwayo Nwayo ka eji agi n'ezi sirike"""""""""""""""" Ife di nma",positive,positive,positive
"@user Chukwu gozie gi, Nna. 🙏🏾",positive,positive,positive
@user Nne biko jisie Ike maka na ofoduru nwa obere oge,positive,positive,negative
"Nwanyi oma, Ada be anyi😍 [URL]",positive,positive,positive
@user 🤣 🤣 🤣 Ọkwa nnukwu ego oh,positive,negative,negative
@user @user @user @user @user @user Iseeeeee 🙏! Ya dịkwalu gị na mma 🙏 Nwanne m.,positive,positive,positive
🎼Jehovah idi egwu Jehovah🎼 @user #SuperSunday #HOTRService,positive,positive,positive
Onye Chimere Eze [URL],positive,positive,positive
"@user Dede, amaralam si na ihufu ozi ekelem make puku naira abuo inyerem maka nri ututu. Ino na mgbahari. Nwanna, onye nwe anyi ga ida emere gi ihe oma, da emepere gi uzo... Oga idozi gi ta inwe ike iri aku ikpatara. Jisike dede. Ibuskwa Dimkpa eji eje mba. #BrothersKeeper",positive,positive,positive
@user Dalu nwanne mmadu 🙏🏾,positive,positive,positive
@user Ututu oma Nnaa 🙌,positive,positive,positive
@user @user Jesu Kristi nwa David! Chinyere since mgbe onezi? Jehova napu ekwensu ike......I cast and bind 💆💆💆,positive,negative,negative
Chukwu Agozigo Gi🔥🔥🔥🔥🔥,positive,positive,positive
"@user Eee nwanyioma, arahurum nke oma! Udo!🙏",positive,positive,positive
@user @user @user @user @user @user @user @user @user @user @user @user @user Amen. Dalu nwanyi oma,positive,positive,positive
"♫♬ Na You be God...A ga m aja Gị mma, Si na ebighebi, ebighebi ruo na ebighebi ♫♬ #Consecrated #AfricanPraise #BreakingForward #iOccupy",positive,positive,positive
Onyinye nke Chineke anaghị ele anya mmadụ ❤ #UnusualPraise ❤ [URL],positive,positive,positive
Nwoke eji eje mba [URL],positive,positive,positive
@user @user @user @user @user @user @user @user @user @user @user Nsogbu adi ro 😁,positive,negative,negative
@user Happy birthday nwanne ọma. Jisike na mgbali gi niile. Udo diri gi!,positive,positive,positive
YAWEH ALPHA OMEGA KING OF KINGS PRINCE OF PEACE EXTRAORDINARY STRATEGIST IMPOSSIBILITY SPECIALIST AKA NA AGWO ỌRỊA CHI KA CHI OME MBGE Ọ NYIRI DIBỊA ỤWA ỌMA IJE NWA NA AFỌ Ọ JI ỌBARA AKPỤ NWA Ọ BATA Ọ BIE GAA GA NA ỌGWỤ ISI IYI NKE NDỤ OLORO IHE LORO ENYI IGWEEE!! [URL],positive,negative,positive
"Onye odi oo odi,onye odi ka odi Umu obiligbo,umu obiligbo Ife Ekwe na aku Anyi ga Agbalu umu Nwanyi oso? #Bbnaija",positive,positive,positive
"@user My shout out to ndi hurum n'anya na ndi m guru n'anya, &amp; ndi TMA",positive,positive,positive
"#Worship #CruiseOfOil 🎶Okorobia di nma (fine man) nma nma e, Chi onyem ji eme onu (The God I make boast of) nma nma e #VCService",positive,positive,positive
@user @user Nke ezigbo o 🤣,positive,negative,negative
Happy birthday Odogwu @user Chukwu gọzịwerem gị biko. Odogwu abụrọ ngwongwo ụmụaka. Golibe na aka Chukwu dị na ndụ gị [URL],positive,positive,positive
@user Ana m ahu gi nwanne m ọma 🙌🏾💪🏾,positive,positive,positive
@user Udo diri gi Nnaa,positive,positive,positive
"Ekpere gi amaka.... Ka Chineke n'ara aririo anyi, Amen. [URL]",positive,positive,positive
Happy birthday Zee Nwa Mama @user 🎂 🎼Jehovah ebunyigo gi elu - higher higher 🎼 🚀🚀🚀… [URL],positive,positive,positive
@user @user @user @user @user @user @user @user @user @user @user @user Correct person nsogbu adighi,positive,negative,negative
@user Biko hapu nu this guy soro nu m biko. Aga m esoghachi onye Igbo obula soro m. Daalu nu. Ha amakwa nu ka anyi si kwado! #IgboInvasion,positive,positive,negative
@user Nne daalu. [NUM] litre Swan di m akuku. I feel so weak. Mana o ya adisi m nma. Daalu rinne!,positive,positive,positive
@user Nwanne mmadu. Ya gazie gi nke oma,positive,positive,positive
Onye Chi yelu Ugo... 🙏🌚🌚,positive,positive,positive
@user Gracias Merci bouqui Chukwu Gozie gi,positive,positive,positive
@user @user @user @user @user @user @user @user Biko agbachina ònye chi ya agba chiro 😂. Thank u,positive,negative,negative
@user Thanks a lot Mazi. Chukwu gozie gi big big. 🙏🏾,positive,positive,positive
@user 😂😂😂 ngwanu Nwachukwu uche gi di ya ooo 🤣🤣🤣🤣🤣🤣,positive,negative,negative
"Akaraka di n'iche n'iche, nke a bu nke m. #music #saxophone @user Owerri, Imo [URL]",positive,positive,positive
Odogwu Nwanyi! I am soooo proud Chukwu duo gi na-Ije gi nile [URL],positive,positive,positive
@user Walaykum salam warahmotullah wabarakatuhu (nka bu okwu ekene; Udo Dirigi umunnem).,positive,positive,positive
Dear @user nwa mama. Chukwu gozie gi. Onye oma diri kwa ndu kaa nka.,positive,positive,positive
Happy Birthday @user Chukwu Gozie GI Nwanne💙🙌 [URL],positive,positive,positive
Imela imela Okaka Onye m ji e me onu Imela imela Eze ndi eze Eze m o #DCC #Worship,positive,positive,positive
Nri ndi nze!!! [URL],positive,positive,positive
@user @user @user @user @user @user @user @user @user @user @user Ònye me bịa ụwa ná atọ pieces Ọkwu a anyị ụgwọ ya na pound sterling £££ ma kà chị 😂😂😂😂,positive,positive,negative
"@user Okay... nne, idi uto. Next. 😅",positive,positive,positive
"@user Okwa ifu dat last advise to umu asa, odimkpa.",positive,positive,negative
@user Baba shoe gi a bụgodi machine,positive,negative,negative
@user @user Amen. Daalu shinne ezigbo nwa nne m,positive,positive,positive
@user @user Ada Nnia NwanyiOma Ezigbo nwanyi Oganiru m NneOma NwanyiOcha,positive,positive,positive
@user Daluu onye oma CY🙄,positive,positive,positive
Go and conquer dear AKWAABA OHENE OZO Ozoemena Chukwu #GhanaWelcomesOzo [URL],positive,positive,positive
@user @user Otito diri jesu! No be okpa,positive,positive,positive
"@user Anyi ario gi (anayooo) anyi ario gi (anayoo) ezi chukwu, ezi chukwu, nabata ya; were ya, gozie ya, mekwaa ya Nna, k'odi mma, (kwesi) n'iga'nara ya.",positive,positive,positive
NP Onye Nkem - SSES // #DreamLounge WIth @user &amp; @user 🐼🐵 #MondayNightMashUp CC @user #DaRMXshow,positive,positive,positive
@user Nwanyi oma kedu ebe isi weta ONA. Ezigbo nri Mara mma. Biko I have enyetu m,positive,positive,positive
Happy birthday Mbiagu. Chukwu gozie gi.. [URL],positive,positive,positive
